NAME,ID,DESCRIPTION,position
Ozzie Guillen,180,Guillen was an invaluable addition to the Atlanta Braves team ashe posted a.277 batting aver- |) I i,position_player
Raul Mondesi,181,"The Dodgers team leader in virtually every batting category last season, Mondesi paced Los (7 |, on = | aS",position_player
Ryan Mcguire,182,After a couple of excellent seasons at Class-AAA Ottawa and a short stint with the Expos in| ] ——_ s Becki pcy,position_player
Paul O'neill,183,"O'Neill as Usual, provided plenty of offense for the Yankees during the first half of Sy em | ag Hy q YG",position_player
Guinton Ncrrcken,184,MeCracken’s selection by the Devil Rays in the “97 Expansion Draft may well prove tobe the =| 9 ae,position_player
Derek Jeter,185,"In his third full Major League season, Jeter continued to show his value on offense Denies TINY « ey",position_player
Ken Caminiti,186,"Caminiti continued to hit for plenty of power, which he has found ever since he started his current i uh ) Wi, ie -: ern",position_player
Kenny Rogers,187,"On 4-8-98, Rogers allowed four hts over seven innings to heat the Indians 3-1 for hs first win as anAthcic. i Wf",pitcher
Rickey Henderson,188,Da has ee,position_player
Mike Bordick,189,Bordick continued to display his outstanding defense at the Orioles’ shortstop position in BA aes ra,position_player
Bobby Bonilla,190,Bonilla joined his fourth team in three years when he was part of one of the biggest trades j male yo 0) n j ih,position_player
Wade Boggs,191,NA,position_player
Todd Stottledivae,192,Todd Stottlemyre looks to have found @ home in the desert in 1999 after starting the 1998 >. ees,pitcher
Albert Belle,193,"Belle made a run at the AL Triple Crown in 1998, finishing in the top three in each category. = Be",position_player
Kevin Brown,194,. e r . . : ff \ Se py,pitcher
Jeromy Burnitz,195,"Burnitz continued to blossom for the Brewers in ‘98, leading the club in homers (19) and het Le",position_player
Nomar Garciaparra,196,Garciaparra didn’t let up in “S6 after his Rookie of the Year season of 97 and continued to Aye we {ie rie we,position_player
Steve Finley,197,Steve Finley scored 423 runs in his four-year stint with the San Diego Padres. — — :  * Ge ee,position_player
Jose Canseco,198,"One of the Major Leagues’ premier power hitters for more than a decade, Canseco joins the =|, carer an? i eg",position_player
Mark Portugal,199,The crafty veteran right hander rebounded well after sitting out most of the 1897 season by win- = (e=: Oy es,pitcher
Chad Kreuter,200,"After two straight seasons of splitting time between the White Sox and Angels, Kreuter | ee I = ce y 2 Aas peas",position_player
Eee Eee,201,"On 7-5-98, Vaughn became the first player in Padres history to hit 30 homers before the All-Star Break. e iA",position_player
Dante Bichette,202,"Ever since joining the Rockies in 1993, Bichette has emerged as one of the best hitters in | MMMM) ee",position_player
Buss Branyan,203,"The Indian’s top power-hitting prospect, Russell Branyan missed over three months of the se@- a a",position_player
Shane Andrews,204,"Andrews saw substantial playing time through the first part of the ‘98 season, and | i, ae “en:",position_player
Butch Huskey,205,"Adding yet another big bat to the Seattle lineup in “99, Huskey joined the Mariners in an oe Te",position_player
Reggie Jefferson,206,"Despite seeing his playing time reduced by injury, designated hitter Jefferson contributed his l > <a ate """,position_player
Willie Greene,207,"Long considered to be one of the game’s top talents, Greene hopes that a change in scenery = |) ee",position_player
Bill Mueller,208,"Mueller, who had a four-year minor-league average of 301 before making the Major Leagues Poo",position_player
Bobby Estalella,209,Estalella was voted the best defensive catcher in the International League by Baseball America. | am a —,position_player
Omar Daal,210,Omar Daal emerged as an important member of the Diamondbacks’ pitching staff in 1998. The =f fe oy,pitcher
Ricky Ledee,211,NA,position_player
Chipper Jones,212,NA,position_player
Edgar Renteria,213,Edgar Renteria became the first Colombian native to play in the All-Star game and wes the = in ~~ >,position_player
Ken Hill,214,Hill reached two career milestones in’98. He earned his 100th career victory with a 2-Owin —,pitcher
Kelvim Escobar,215,"Escobar posted a 7-3 record and a 3.73 ERA in 22 games, 10 of which were starts for the li se es Ae:",pitcher
Brad Ausmus,216,"After a sluggish startin the first two months of the 1998 season, Ausmus rebounded ta fin- ©} {4 =e * |",position_player
John Mabry,217,NA,position_player
Chuck Knoblauch,218,"Knoblauch starred in his first game back at the Metrodome 5-8-98, going 2-for-b with two fe i |",position_player
Fred Mcgriff,219,"McGriff returned home to Florida and provided valuable veteran leadership to the first-year e . — i,",position_player
Homer Bush,220,"The only rookie on the eventual-World Champion Yankees’ Opening Day roster in “98, Bush = = |",position_player
Gabe Kapler,221,Gabe Kapler spent most of the 1998 season in Class-AAA Jacksonville where he slugued 47 dou- ee,NA
Mike Macfarlane,222,Macfarlane gives the youthful Athletics some veteran depth behind the plate. Aptly capable of = | ee TE ho’,position_player
Rondell White,223,"White batted 300 with 16 stolen bases, 17 long balls and $8 ABI. He had @14-game hitting =| Si",position_player
Tony Saunders,224,NA,pitcher
